file,line,old_name,new_name,reason
Sources/SwiftFulcrum/FulcrumClient+CallModel.swift,10,OptionsModel,Options,DuplicateRoleSuffix
Sources/SwiftFulcrum/FulcrumClient+CallModel.swift,20,CancellationModel,Cancellation,DuplicateRoleSuffix
Sources/SwiftFulcrum/FulcrumClient+Configuration+ProtocolNegotiationModel.swift,44,ArgumentModel,Argument,DuplicateRoleSuffix
Sources/SwiftFulcrum/FulcrumClient+DiagnosticsModel.swift,10,SnapshotModel,Snapshot,DuplicateRoleSuffix
Sources/SwiftFulcrum/FulcrumClient+DiagnosticsModel.swift,29,SubscriptionModel,Subscription,DuplicateRoleSuffix
Sources/SwiftFulcrum/FulcrumClient+DiagnosticsModel.swift,39,TransportSnapshotModel,TransportSnapshot,DuplicateRoleSuffix
Sources/SwiftFulcrum/FulcrumClient+Error.swift,35,Client,ClientIssue,DuplicateRoleSuffix(manual-collision-override)
Sources/SwiftFulcrum/JSONRPC/JSONRPCModel+Error.swift,11,StorageIssueModel,StorageIssue,DuplicateRoleSuffix
Sources/SwiftFulcrum/JSONRPC/JSONRPCModel+Error.swift,15,DecodingFailureReasonModel,DecodingFailureReason,DuplicateRoleSuffix
Sources/SwiftFulcrum/JSONRPC/JSONRPCModel.swift,13,CoderModel,Coder,DuplicateRoleSuffix
Sources/SwiftFulcrum/JSONRPC/JSONRPCModel.swift,27,DecodeContextModel,DecodeContext,DuplicateRoleSuffix
Sources/SwiftFulcrum/Log/LogModel.swift,8,LevelModel,Level,DuplicateRoleSuffix
Sources/SwiftFulcrum/Log/LogModel.swift,36,AdapterModel,Adapter,DuplicateRoleSuffix
Sources/SwiftFulcrum/Log/LogModel.swift,89,NoOperationAdapterModel,NoOperationAdapter,DuplicateRoleSuffix
Sources/SwiftFulcrum/Log/LogModel~ConsoleAdapter.swift,6,ConsoleAdapterModel,ConsoleAdapter,DuplicateRoleSuffix
Sources/SwiftFulcrum/Log/LogModel~ConsoleAdapter.swift,116,BehaviorModel,Behavior,DuplicateRoleSuffix
